Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,PacketCounter
0.9481861,0.20391953,-0.239381135,-0.04534936,4.349999905,3.920000076,7.519999981,1
0.948099971,0.205073774,-0.238642395,-0.04583643,4.239999771,3.839999914,7.789999962,2
0.947892606,0.206241414,-0.238529578,-0.045471989,4.090000153,3.880000114,7.489999771,3
0.946916401,0.207767397,-0.241825625,-0.041260507,4.139999866,4.329999924,7.46999979,4
0.945898771,0.210626975,-0.243402019,-0.04083148,4.170000076,4.039999962,7.849999905,5
0.945506692,0.213930726,-0.242312402,-0.039185029,4.210000038,4.190000057,7.510000229,6
0.94535929,0.213619828,-0.243160397,-0.039183982,4.119999886,4.210000038,8.039999962,7
0.946665168,0.211183846,-0.240481034,-0.037353907,4.320000172,4.329999924,8.289999962,8
0.951318264,0.199468002,-0.231512278,-0.040101122,4.5,4.389999866,7.909999847,9
0.960765302,0.163454011,-0.216677263,-0.057129554,4.019999981,5.389999866,9.289999962,10
0.969587743,0.12890403,-0.189022616,-0.086912565,2.700000048,2.420000076,8.050000191,11
0.969536483,0.135619149,-0.18963486,-0.075133733,3.24000001,3.400000095,8.819999695,12
0.96854949,0.147092089,-0.19042626,-0.063353352,3.50999999,2.869999886,8.210000038,13
0.96772927,0.155032009,-0.190982342,-0.054688454,3.309999943,3.309999943,8.100000381,14
0.965859294,0.164485991,-0.1954301,-0.043211903,3.369999886,3.700000048,8.619999886,15
0.958930373,0.196961895,-0.202394053,-0.026367381,3.720000029,3.720000029,7.920000076,16
0.961490035,0.189514801,-0.19720526,-0.027038665,3.160000086,4.03000021,6.949999809,17
0.964132726,0.18024081,-0.191593602,-0.035401177,3.410000086,3.109999895,8.960000038,18
0.965027392,0.179199323,-0.189636335,-0.025451675,3.589999914,3.829999924,7.71999979,19
0.962831676,0.171448126,-0.208435506,-0.010742211,4.010000229,3.970000029,8.930000305,20
0.963495791,0.171752006,-0.204954952,-0.013061453,3.25999999,3.450000048,8.930000305,21
0.965492487,0.188533172,-0.179500192,-0.007690249,3.619999886,4.599999905,10.18999958,22
0.972853124,0.209170431,-0.09643691,-0.022461254,3.019999981,5.21999979,9.840000153,23
0.981253862,0.187864617,0.042663213,0.005248979,0.25,4.769999981,3.579999924,24
0.969024718,0.188897878,0.149592474,0.054136481,-2.170000076,5.019999981,10.26000023,25
0.949195743,0.192866415,0.229730755,0.095151499,-3.420000076,2.839999914,8.550000191,26
0.914779723,0.186398268,0.341180861,0.109678358,-4.489999771,2.339999914,5.789999962,27
0.879746258,0.083128512,0.450126857,0.128537923,-7.460000038,6.429999828,-0.07,28
0.913496554,-0.164120555,0.366204292,0.066954352,-4.769999981,-5.300000191,6.75,29
0.914967716,-0.293880969,0.264157176,0.081786193,-4.659999847,-5.03000021,5.369999886,30
0.936905086,-0.302434176,0.149233416,0.092042528,-1.799999952,-4.840000153,2.640000105,31
0.981459975,-0.173098296,-0.047425024,0.067261748,2.769999981,-4.800000191,9.960000038,32
0.986851037,-0.004943715,-0.153865516,0.049254052,3.950000048,-1.99000001,10.18999958,33
0.969614089,0.198122069,-0.140504315,0.029236129,4.0,2.420000076,12.0,34
0.952086926,0.297546238,-0.066040009,0.025207506,1.440000057,6.809999943,11.22000027,35
0.741758227,0.233519867,0.243163392,0.57977134,0.479999989,4.730000019,6.53000021,36
0.74265945,0.128293082,0.288750976,0.590441108,-2.799999952,4.980000019,5.519999981,37
0.75153923,0.107728966,0.266789407,0.59363848,-2.519999981,4.179999828,8.140000343,38
0.77020514,0.119629301,0.219910398,0.586610794,-1.929999948,4.730000019,9.529999733,39
0.782764852,0.128172025,0.175961882,0.582999587,-0.680000007,3.150000095,10.18999958,40
0.789314687,0.135072187,0.157655418,0.577825725,-0.660000026,2.109999895,8.989999771,41
0.791253686,0.137450114,0.14544566,0.577815413,-0.100000001,3.49000001,8.670000076,42
0.794454515,0.159489065,0.131778374,0.570998907,0.01,2.839999914,9.180000305,43
0.780512333,0.169920728,0.12689124,0.588069797,0.469999999,3.819999933,8.670000076,44
0.767219782,0.168214619,0.105530873,0.60986954,0.959999979,3.640000105,9.199999809,45
0.763316751,0.155702949,0.082947984,0.621469021,0.550000012,2.400000095,10.11999989,46
0.758972228,0.13665773,0.089843757,0.630249083,0.460000008,2.640000105,8.949999809,47
0.758219898,0.133724526,0.094602019,0.631087005,0.49000001,2.940000057,9.81000042,48
