sep=,
DeviceTag:,Xsens DOT 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.560 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 732191783, 0.07060001, -0.7685818, -0.10473843, -0.6271581, -0.044075567, 0.00765476, 0.17120457, 0
2, 732208450, 0.07106944, -0.76876664, -0.104912356, -0.6268497, -0.059699897, -0.016727375, 0.15223408, 0
3, 732225117, 0.07106005, -0.7692338, -0.1047913, -0.6262976, -0.061946545, -0.04867045, 0.14738369, 0
4, 732241784, 0.07049754, -0.76978636, -0.10443915, -0.625741, -0.087978125, -0.063347876, 0.14138508, 0
5, 732258451, 0.07016917, -0.77028966, -0.1045581, -0.6251383, -0.05469144, -0.04220366, 0.14270401, 0
6, 732275118, 0.06987629, -0.77063715, -0.10457172, -0.62474036, -0.061230898, -0.04334503, 0.1613102, 0
7, 732291785, 0.06969074, -0.7708624, -0.10457471, -0.6244827, -0.010737094, -0.026130117, 0.13303852, 0
8, 732308452, 0.06935808, -0.7709908, -0.104303695, -0.6244066, 0.037106022, -0.021181429, 0.10513973, 0
9, 732325119, 0.069175184, -0.7710149, -0.10414566, -0.62442344, 0.007540042, -0.017500505, 0.19302082, 0
10, 732341786, 0.069211125, -0.7710044, -0.104175515, -0.6244274, -0.052591216, -0.029776508, 0.18343735, 0
11, 732358453, 0.06940314, -0.7709881, -0.10434506, -0.6243978, -0.06250244, 1.5103888E-4, 0.14325142, 0
12, 732375120, 0.069355324, -0.7710156, -0.10416301, -0.6243997, -0.059256457, -0.0045817923, 0.105526924, 0
13, 732391787, 0.06937526, -0.7710009, -0.10405323, -0.6244339, -0.0571207, -0.0012778236, 0.14483643, 0
14, 732408454, 0.06937489, -0.7709738, -0.10387626, -0.624497, -0.06508234, 0.011236778, 0.14187717, 0
15, 732425121, 0.06947322, -0.77094215, -0.103780635, -0.62454087, -0.040893804, -0.006076982, 0.13824272, 0
16, 732441788, 0.06957577, -0.77089316, -0.10368092, -0.6246066, -0.037664175, 0.0011167824, 0.15000916, 0
17, 732458455, 0.069664076, -0.7708322, -0.10359324, -0.62468654, -0.05146467, -0.0064823227, 0.13982868, 0
18, 732475122, 0.069882914, -0.7707674, -0.10365983, -0.624731, -0.07250974, -0.011493316, 0.14743233, 0
19, 732491789, 0.07006517, -0.7707294, -0.1036805, -0.624754, -0.07553743, -0.021397399, 0.12811184, 0
20, 732508456, 0.070142984, -0.77072453, -0.10362275, -0.6247609, -0.09328566, -0.027831666, 0.13859272, 0
21, 732525123, 0.07012585, -0.7707194, -0.10348702, -0.62479156, -0.10026128, -0.03754621, 0.16094398, 0
22, 732541790, 0.07011054, -0.7707253, -0.10331493, -0.62481457, -0.09782652, -0.022159632, 0.14431286, 0
23, 732558457, 0.07020042, -0.7707156, -0.10323592, -0.6248294, -0.103917345, -0.029499296, 0.12184715, 0
24, 732575124, 0.07045487, -0.7706653, -0.10334764, -0.6248445, -0.08440536, -0.059924103, 0.14624119, 0
25, 732591791, 0.07059008, -0.77061945, -0.10334051, -0.6248869, -0.08193094, -0.063350335, 0.15734005, 0
26, 732608458, 0.0705889, -0.770581, -0.103171095, -0.6249623, -0.10240261, -0.07419445, 0.16439629, 0
27, 732625125, 0.07072341, -0.7705186, -0.103112325, -0.6250338, -0.1117847, -0.04757423, 0.11577129, 0
28, 732641792, 0.07087823, -0.7704869, -0.10310131, -0.62505716, -0.109235, -0.04164281, 0.117957115, 0
29, 732658459, 0.07097358, -0.7705039, -0.1030286, -0.62503743, -0.12508577, -0.026840106, 0.13877392, 0
30, 732675126, 0.0710304, -0.77051526, -0.102909036, -0.6250365, -0.11140526, -0.016306052, 0.14026546, 0
31, 732691793, 0.07105149, -0.7704889, -0.10277185, -0.62508917, -0.058986746, -0.02759368, 0.10229206, 0
32, 732708460, 0.0710406, -0.7704361, -0.10261912, -0.62518066, -0.04371113, -0.02978394, 0.1367855, 0
33, 732725127, 0.071048945, -0.7703786, -0.102532014, -0.625265, -0.062708974, -0.055340856, 0.15361404, 0
34, 732741794, 0.071083665, -0.7703566, -0.102442354, -0.6253028, -0.12246409, -0.063053004, 0.17501545, 0
35, 732758461, 0.07112311, -0.7703845, -0.10236529, -0.6252766, -0.13023628, -0.08549152, 0.1502285, 0
36, 732775128, 0.071046665, -0.77042246, -0.10218102, -0.6252687, -0.11198716, -0.06577813, 0.15322876, 0
37, 732791795, 0.070915185, -0.7704433, -0.10194125, -0.62529683, -0.10436286, -0.058390357, 0.14656258, 0
38, 732808462, 0.070922144, -0.77041155, -0.10180519, -0.62535757, -0.11614165, -0.055142544, 0.1514206, 0
39, 732825129, 0.071041785, -0.77035505, -0.10179783, -0.62541467, -0.09686358, -0.046341892, 0.13137817, 0
40, 732841796, 0.07111596, -0.7703066, -0.10174719, -0.62547404, -0.06949076, -0.061002776, 0.12145233, 0
41, 732858463, 0.07116958, -0.77028334, -0.10168124, -0.62550735, -0.13800322, -0.061975617, 0.15248966, 0
42, 732875130, 0.07119681, -0.7702784, -0.101597875, -0.625524, -0.16493669, -0.07875345, 0.16572475, 0
43, 732891797, 0.07124173, -0.7702953, -0.101515174, -0.6255114, -0.1868303, -0.08572342, 0.14791012, 0
44, 732908464, 0.07130949, -0.77031195, -0.10145915, -0.6254924, -0.17041442, -0.10922704, 0.13923264, 0
45, 732925131, 0.07137369, -0.7702966, -0.10138274, -0.6255163, -0.1496983, -0.08573404, 0.12198734, 0
46, 732941798, 0.071579196, -0.77026004, -0.101474814, -0.6255228, -0.13402615, -0.08490933, 0.12717533, 0
47, 732958465, 0.07168785, -0.77023345, -0.101465546, -0.6255447, -0.11561607, -0.08011419, 0.15003014, 0
48, 732975132, 0.07178823, -0.7702088, -0.10146068, -0.62556446, -0.1275874, -0.09146234, 0.13996601, 0
49, 732991799, 0.07196585, -0.7701556, -0.10155968, -0.62559325, -0.1098374, -0.07319144, 0.16082382, 0
50, 733008466, 0.072050974, -0.7700995, -0.10153469, -0.6256566, -0.12542745, -0.09077414, 0.17192364, 0
51, 733025133, 0.07229218, -0.7700365, -0.101650864, -0.62568754, -0.16720006, -0.093838565, 0.18075466, 0
52, 733041800, 0.07235885, -0.77002394, -0.10160587, -0.6257025, -0.15334386, -0.10930739, 0.16525269, 0
53, 733058467, 0.07250781, -0.76999706, -0.1016381, -0.62571317, -0.15087767, -0.11416092, 0.13301754, 0
54, 733075134, 0.072448425, -0.769997, -0.10145982, -0.62574905, -0.16293693, -0.13404652, 0.08204937, 0
55, 733091801, 0.072371565, -0.77001065, -0.101323694, -0.62576336, -0.16141298, -0.15776254, 0.10596943, 0
56, 733108468, 0.07231924, -0.7699626, -0.101268716, -0.6258372, -0.13546292, -0.15668006, 0.18260193, 0
57, 733125135, 0.07217912, -0.76987463, -0.10110714, -0.62598765, -0.12824589, -0.14554588, 0.18846321, 0
58, 733141802, 0.072279915, -0.7697361, -0.10115891, -0.6261382, -0.12653749, -0.1381889, 0.15028, 0
59, 733158469, 0.072310515, -0.76964045, -0.10109532, -0.6262624, -0.13090661, -0.1291341, 0.104094505, 0
