sep=,
DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.561 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 753473435, 0.31697494, 0.6711449, -0.3469811, 0.5733197, -0.012168492, 0.005050275, 0.0767622, 0
2, 753490102, 0.31643575, 0.67138153, -0.34663013, 0.57355285, -0.03046247, -0.01125656, 0.06261349, 0
3, 753506769, 0.3160699, 0.6717217, -0.34607014, 0.57369447, 0.014331763, -0.016472904, 0.07672691, 0
4, 753523436, 0.3159423, 0.6717039, -0.34592855, 0.5738711, 0.052494254, -0.016764142, 0.056554794, 0
5, 753540103, 0.31582883, 0.6714832, -0.3460147, 0.5741397, 0.016366513, -0.035330694, 0.056552887, 0
6, 753556770, 0.31600797, 0.67118144, -0.34628195, 0.5742329, -0.0378641, -0.06538268, 0.09571648, 0
7, 753573437, 0.3163201, 0.67096937, -0.34647137, 0.5741946, -0.017386403, -0.044948455, 0.08184719, 0
8, 753590104, 0.3162532, 0.6710069, -0.34631288, 0.57428306, -0.00420752, -0.026398892, 0.07024956, 0
9, 753606771, 0.3163784, 0.67090744, -0.34645283, 0.5742461, -0.008942194, -0.040616326, 0.06421757, 0
10, 753623438, 0.31635034, 0.67090225, -0.34646672, 0.5742591, 0.005973831, -0.033060696, 0.06589031, 0
11, 753640105, 0.31621286, 0.6709635, -0.3463818, 0.5743145, -0.009229856, 0.016371878, 0.08907795, 0
12, 753656772, 0.31601894, 0.6710404, -0.3463429, 0.5743548, -0.04428697, 0.0011175647, 0.09103966, 0
13, 753673439, 0.31588525, 0.6710884, -0.3463911, 0.57434326, -0.036610752, -0.0068792817, 0.09402561, 0
