sep=,
DeviceTag:,Xsens DOT 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-03-15 15:49:47.562 +0530,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 759263933, 0.11422642, 0.7650052, -0.10653014, 0.6247965, 0.03268937, 0.0091877235, -0.06950188, 0
2, 759280600, 0.11424382, 0.76498073, -0.10684684, 0.62476957, 0.0481903, -0.0051659434, -0.06283474, 0
3, 759297267, 0.11360095, 0.7648634, -0.10624104, 0.6251334, 0.093451776, -0.018047443, -0.046596527, 0
4, 759313934, 0.113438234, 0.7644188, -0.10611129, 0.62572855, 0.104908854, -0.037339013, -0.044585228, 0
5, 759330601, 0.113299236, 0.76394844, -0.1058606, 0.6263702, 0.08944874, -0.052291248, -0.04065609, 0
6, 759347268, 0.113153, 0.7635893, -0.1054612, 0.6269017, 0.027799578, -0.059109118, -0.05278778, 0
7, 759363935, 0.113242164, 0.7633939, -0.105277546, 0.6271545, -0.030395443, -0.05757604, -0.042347908, 0
8, 759380602, 0.11323778, 0.76337004, -0.104929544, 0.6272427, -0.030319449, -0.04063918, -0.057167053, 0
9, 759397269, 0.11320463, 0.76342136, -0.10456188, 0.62724745, -0.043708015, -0.03346805, -0.037204742, 0
10, 759413936, 0.11319121, 0.7635001, -0.104307644, 0.62719655, -0.049860712, -0.032674074, -0.04167652, 0
11, 759430603, 0.1131182, 0.76360875, -0.1040536, 0.62711936, -0.034696314, -0.018361812, -0.06337738, 0
12, 759447270, 0.11300287, 0.76374197, -0.1038198, 0.6270167, -0.037046168, 0.023754062, -0.04827118, 0
13, 759463937, 0.112831, 0.7638957, -0.10358829, 0.6268988, 0.021592973, 0.027786795, -0.057614326, 0
14, 759480604, 0.11284147, 0.76400936, -0.103599966, 0.62675655, 0.029116515, 0.05766204, -0.070651054, 0
15, 759497271, 0.112722576, 0.764113, -0.10353862, 0.62666166, 0.049424637, 0.04541856, -0.049544334, 0
16, 759513938, 0.11261369, 0.76419365, -0.10350799, 0.62658787, 0.055178106, 0.022894824, -0.028075218, 0
17, 759530605, 0.11254243, 0.7642573, -0.103535004, 0.6265186, 0.022757104, 0.035096955, -0.023147583, 0
18, 759547272, 0.11238529, 0.76434547, -0.103479594, 0.62644845, -0.0088709565, 0.0014548459, -0.04186344, 0
19, 759563939, 0.1123072, 0.7644318, -0.10347737, 0.62635744, -0.017063517, -0.029320989, -0.052882195, 0
20, 759580606, 0.11223031, 0.7645432, -0.10346417, 0.6262375, -0.03274577, -0.006042505, -0.07942867, 0
21, 759597273, 0.11209261, 0.7646755, -0.103406355, 0.6261102, -0.057252683, 0.0023552678, -0.08576107, 0
22, 759613940, 0.11199119, 0.7648052, -0.10342389, 0.6259668, -0.049100682, 0.018736811, -0.08601284, 0
23, 759630607, 0.111891985, 0.76493204, -0.10345973, 0.6258237, -0.01969071, 0.010767848, -0.041817665, 0
24, 759647274, 0.11179397, 0.765026, -0.10347758, 0.6257234, 0.013520907, -0.01622324, -0.017899513, 0
25, 759663941, 0.11180315, 0.7650965, -0.103578776, 0.62561893, -0.0022904282, -0.012301538, -0.058404922, 0
26, 759680608, 0.111738645, 0.7652047, -0.10356957, 0.6254995, -4.32756E-4, -0.022263957, -0.06910992, 0
27, 759697275, 0.111686386, 0.76532847, -0.103608735, 0.62535095, 0.027452014, 0.010997117, -0.042199135, 0
28, 759713942, 0.111661755, 0.7654705, -0.103691176, 0.6251679, 0.005773947, 0.04600673, -0.050078392, 0
29, 759730609, 0.111628585, 0.7656087, -0.10374288, 0.6249959, -1.7592566E-4, 0.04108263, -0.0592165, 0
30, 759747276, 0.11157412, 0.76572, -0.10379245, 0.6248611, 0.026049806, 0.028305849, -0.045392036, 0
31, 759763943, 0.11148154, 0.7658096, -0.10381353, 0.6247642, 0.057630155, 0.009267182, -0.047288895, 0
32, 759780610, 0.111357674, 0.7658949, -0.103811495, 0.6246821, 0.06546027, -0.027639333, -0.05022335, 0
33, 759797277, 0.111238144, 0.76599145, -0.10380399, 0.6245863, 0.031263415, -0.049586236, -0.03520298, 0
34, 759813944, 0.1112016, 0.7660787, -0.10385053, 0.62447804, 0.027023904, -0.034930717, -0.017956734, 0
35, 759830611, 0.11114233, 0.7661727, -0.10387332, 0.62436956, 0.0024849402, -0.0053112824, -0.028671265, 0
36, 759847278, 0.111109965, 0.76627564, -0.10391169, 0.6242424, -0.020320017, 0.005205002, -0.0479517, 0
37, 759863945, 0.11106474, 0.766363, -0.10392107, 0.6241416, -0.023702089, 0.011684308, -0.07491779, 0
38, 759880612, 0.11098891, 0.76646197, -0.10391447, 0.6240346, -0.013607636, 0.033199664, -0.0880537, 0
39, 759897279, 0.11087504, 0.7665611, -0.103896245, 0.62393636, -8.066652E-4, 0.020106442, -0.057061195, 0
40, 759913946, 0.11071278, 0.76667005, -0.10386663, 0.62383604, -0.027325017, 0.02129883, -0.033216476, 0
41, 759930613, 0.11063071, 0.7667794, -0.10389918, 0.62371093, -0.010001367, 0.010790591, -0.03360176, 0
42, 759947280, 0.11051677, 0.7669181, -0.103885934, 0.6235629, -0.007825908, -0.004039382, -0.052746773, 0
43, 759963947, 0.11041219, 0.7670457, -0.10387155, 0.6234268, -0.034561396, -1.897625E-4, -0.06993675, 0
44, 759980614, 0.1102913, 0.76719326, -0.10386604, 0.6232675, -0.040542867, 0.03337227, -0.06821251, 0
45, 759997281, 0.11015737, 0.76734257, -0.10385189, 0.62310976, -0.0056532645, -0.007888834, -0.086437225, 0
46, 760013948, 0.110066354, 0.7674799, -0.10388984, 0.62295026, 0.0029813484, -0.004221042, -0.058187485, 0
47, 760030615, 0.11003526, 0.76761115, -0.103986934, 0.6227778, 0.040623963, -0.019959763, -0.032374382, 0
48, 760047282, 0.10995687, 0.7677318, -0.104006395, 0.62263966, 0.063443474, -0.027013328, -0.03387642, 0
49, 760063949, 0.109884, 0.7678339, -0.10402979, 0.6225227, 0.0526856, -0.037701942, -0.019236565, 0
50, 760080616, 0.1097591, 0.76791936, -0.103998184, 0.62244457, 0.050686717, -0.04361291, -0.020064354, 0
51, 760097283, 0.10971572, 0.7680016, -0.10404307, 0.62234324, 0.055957202, -0.050758675, -0.049118996, 0
52, 760113950, 0.10962024, 0.76810634, -0.104033485, 0.6222324, 0.048808433, -0.039943554, -0.07153797, 0
53, 760130617, 0.109555565, 0.7681965, -0.10406979, 0.62212646, 0.06978996, -0.02781155, -0.06980133, 0
54, 760147284, 0.10939995, 0.7682639, -0.1040148, 0.62207985, 0.10109296, -0.0224502, -0.05426216, 0
55, 760163951, 0.10928586, 0.768288, -0.10399654, 0.6220732, 0.1240474, -0.03731219, -0.025191307, 0
56, 760180618, 0.10924832, 0.7682841, -0.10407055, 0.62207204, 0.07755342, -0.05627486, -0.01588726, 0
57, 760197285, 0.109219015, 0.7682584, -0.10414366, 0.6220968, 0.06436542, -0.07280912, -0.05293846, 0
58, 760213952, 0.10920701, 0.76822716, -0.1042214, 0.6221244, 0.063026115, -0.063055016, -0.07226086, 0
59, 760230619, 0.10906445, 0.76820135, -0.10412683, 0.62219715, 0.07019916, -0.087642446, -0.024559021, 0
60, 760247286, 0.10909831, 0.7680983, -0.10418773, 0.62230825, 0.083986126, -0.111097336, -0.04788494, 0
61, 760263953, 0.10909153, 0.76794153, -0.10415329, 0.6225086, 0.11599248, -0.11551513, -0.053337097, 0
62, 760280620, 0.10916277, 0.7677008, -0.104147986, 0.6227939, 0.12979877, -0.11817722, -0.043032646, 0
63, 760297287, 0.109264225, 0.7674252, -0.10410007, 0.6231239, 0.1641574, -0.075141534, -0.050391197, 0
64, 760313954, 0.10935885, 0.7671313, -0.10402006, 0.6234823, 0.14037427, -0.01742982, -0.013705254, 0
65, 760330621, 0.10939314, 0.7668392, -0.10389602, 0.6238562, 0.09933778, 0.06094807, 0.007173538, 0
66, 760347288, 0.109290175, 0.7666203, -0.10369563, 0.6241768, -0.006288844, 0.063880615, -0.028569221, 0
67, 760363955, 0.10917153, 0.7664651, -0.10352294, 0.6244165, -0.06440752, 0.036316607, -0.066628456, 0
68, 760380622, 0.109025836, 0.7663658, -0.103294425, 0.62460154, -0.1286503, 0.022536587, -0.07104492, 0
69, 760397289, 0.10898262, 0.7662771, -0.10313122, 0.624745, -0.12894595, 0.01936315, -0.09629154, 0
70, 760413956, 0.10896055, 0.76619154, -0.102956325, 0.6248826, -0.08907514, 0.038960543, -0.1087513, 0
71, 760430623, 0.10899787, 0.7660867, -0.10283063, 0.6250253, -0.096934564, 0.05850401, -0.074593544, 0
72, 760447290, 0.109012336, 0.76597613, -0.10259707, 0.62519664, -0.0768032, 0.07635745, -0.06285286, 0
73, 760463957, 0.109055795, 0.76584536, -0.10236792, 0.625387, -0.088956274, 0.13332431, -0.071103096, 0
74, 760480624, 0.10888452, 0.76579183, -0.101899, 0.62555885, -0.10371716, 0.1990018, -0.090476036, 0
75, 760497291, 0.10864001, 0.76577103, -0.10135469, 0.6257151, -0.14896198, 0.19352718, -0.07581329, 0
76, 760513958, 0.108246036, 0.76552856, -0.1005876, 0.62620366, -0.30834925, 0.16730666, 0.05296421, 0
77, 760530625, 0.1077527, 0.76466835, -0.099589534, 0.6274981, -0.48176333, 0.10339122, 0.20688438, 0
78, 760547292, 0.1070225, 0.7631646, -0.09825588, 0.6296602, -0.3764675, 0.009118994, 0.19430351, 0
79, 760563959, 0.1061611, 0.7615823, -0.096972905, 0.6319168, 0.08078782, -0.18144552, 0.18586731, 0
80, 760580626, 0.10521563, 0.7599561, -0.09568276, 0.63422483, 0.42530376, -0.25351074, 0.053406715, 0
81, 760597293, 0.10487116, 0.75800556, -0.09459205, 0.6367747, 0.98699, -0.4519642, 0.16808796, 0
82, 760613960, 0.1057675, 0.75532484, -0.09402645, 0.639888, 1.2854483, -0.5992512, 0.0425539, 0
83, 760630627, 0.10891608, 0.750878, -0.09477805, 0.6444662, 1.7385137, -0.41220087, 0.017290115, 0
84, 760647294, 0.112785935, 0.74641526, -0.096067086, 0.6487794, 0.39328697, 0.33767545, -0.60095215, 0
